Date,Open,High,Low,Close,Volume,Adj Close
7/3/17,36.220001,36.325001,35.775002,35.875,57111200,34.10458
7/5/17,35.922501,36.197498,35.68,36.022499,86278400,34.244804
7/6/17,35.755001,35.875,35.602501,35.682499,96515200,33.921585
7/7/17,35.724998,36.1875,35.724998,36.044998,76806800,34.266182
7/10/17,36.0275,36.487499,35.842499,36.264999,84362400,34.47533
7/11/17,36.182499,36.462502,36.095001,36.3825,79127200,34.58704
7/12/17,36.467499,36.544998,36.205002,36.435001,99538000,34.636944
7/13/17,36.375,37.122501,36.360001,36.942501,100797600,35.119411
7/14/17,36.9925,37.3325,36.8325,37.259998,80528400,35.42123
7/17/17,37.205002,37.724998,37.142502,37.389999,95174000,35.544811
7/18/17,37.299999,37.532501,37.1675,37.52,71475200,35.668404
7/19/17,37.619999,37.855,37.487499,37.755001,83692000,35.8918
7/20/17,37.875,37.935001,37.547501,37.584999,68974800,35.730194
7/21/17,37.497501,37.610001,37.220001,37.567501,105010400,35.713554
7/24/17,37.645,38.110001,37.474998,38.022499,85972800,36.146103
7/25/17,37.950001,38.459999,37.950001,38.185001,75415600,36.300583
7/26/17,38.337502,38.482498,38.264999,38.365002,63124000,36.471699
7/27/17,38.4375,38.497501,36.825001,37.639999,129905200,35.782478
7/28/17,37.4725,37.557499,37.297501,37.375,68854800,35.53056
7/31/17,37.474998,37.5825,37.032501,37.182499,79383600,35.347557
8/1/17,37.275002,37.555,37.102501,37.512501,141474400,35.661274
8/2/17,39.82,39.9375,39.040001,39.285,279747200,37.346294
8/3/17,39.262501,39.302502,38.755001,38.892502,108389200,36.973164
8/4/17,39.017502,39.349998,38.922501,39.0975,82239600,37.168053
8/7/17,39.264999,39.73,39.1675,39.702499,87481200,37.743191
8/8/17,39.650002,40.4575,39.567501,40.02,144823600,38.045029
8/9/17,39.814999,40.317501,39.7775,40.264999,104526000,38.277931
8/10/17,39.974998,40,38.657501,38.830002,163217200,37.058712
8/11/17,39.150002,39.642502,39.017502,39.369999,105028400,37.574085
8/14/17,39.830002,40.052502,39.6875,39.962502,88490800,38.139553
8/15/17,40.165001,40.549999,40.035,40.400002,117862000,38.557091
8/16/17,40.485001,40.627499,40.037498,40.237499,110686400,38.402004
8/17/17,40.130001,40.177502,39.459999,39.465,111762400,37.664745
8/18/17,39.465,39.875,39.18,39.375,109712400,37.578846
8/21/17,39.375,39.4725,38.7775,39.302502,105474000,37.509666
8/22/17,39.557499,40,39.505001,39.945,86418400,38.122852
8/23/17,39.767502,40.1175,39.720001,39.994999,77596400,38.170567
8/24/17,40.107498,40.185001,39.637501,39.817501,79275600,38.001171
8/25/17,39.912498,40.139999,39.817501,39.965,101920400,38.141937
8/28/17,40.035,40.5,39.982498,40.3675,103864000,38.526073
8/29/17,40.025002,40.779999,40,40.727501,118067600,38.869652
8/30/17,40.950001,40.9725,40.6525,40.837502,109078400,38.97464
8/31/17,40.91,41.130001,40.869999,41,107140400,39.129723
9/1/17,41.200001,41.235001,40.907501,41.012501,66364400,39.141655
9/5/17,40.9375,41.0625,40.139999,40.52,117874000,38.671619
9/6/17,40.677502,40.747501,40.130001,40.477501,86606800,38.63105
9/7/17,40.522499,40.560001,40.09,40.314999,87714000,38.475971
9/8/17,40.215,40.287498,39.6325,39.657501,114446000,37.848465
9/11/17,40.125,40.512501,39.9725,40.375,126323200,38.533234
9/12/17,40.6525,40.990002,39.692501,40.215,286856000,38.380535
9/13/17,39.967499,39.990002,39.477501,39.912498,179629600,38.091831
9/14/17,39.747501,39.849998,39.522499,39.57,95042800,37.764954
9/15/17,39.6175,40.2425,39.5,39.970001,196458400,38.146713
9/18/17,40.0275,40.125,39.5,39.6675,113077600,37.858009
9/19/17,39.877499,39.942501,39.610001,39.682499,83242400,37.872318
9/20/17,39.474998,39.564999,38.4575,39.017502,211805600,37.237656
9/21/17,38.950001,38.950001,38.1875,38.3475,150046800,36.598213
9/22/17,37.884998,38.067501,37.639999,37.9725,186581600,36.240326
9/25/17,37.497501,37.9575,37.290001,37.637501,177549200,35.920605
